Running in CPU mode	
Epoch 1.97 / 5, i = 345 / 1780, loss = 3.190384	
Epoch 1.97 / 5, i = 346 / 1780, loss = 3.197172	
Epoch 1.97 / 5, i = 347 / 1780, loss = 3.174576	
Epoch 1.98 / 5, i = 348 / 1780, loss = 3.193911	
Epoch 1.98 / 5, i = 349 / 1780, loss = 3.267893	
Epoch 1.98 / 5, i = 350 / 1780, loss = 3.187516	
Epoch 1.99 / 5, i = 351 / 1780, loss = 3.138424	
Epoch 1.99 / 5, i = 352 / 1780, loss = 3.201619	
Epoch 1.99 / 5, i = 353 / 1780, loss = 3.181755	
Epoch 1.99 / 5, i = 354 / 1780, loss = 3.179659	
Epoch 2.00 / 5, i = 355 / 1780, loss = 3.206776	
Epoch 2.00 / 5, i = 356 / 1780, loss = 3.280616	
Epoch 2.00 / 5, i = 357 / 1780, loss = 3.265119	
Epoch 2.01 / 5, i = 358 / 1780, loss = 3.204196	
Epoch 2.01 / 5, i = 359 / 1780, loss = 3.168505	
Epoch 2.01 / 5, i = 360 / 1780, loss = 3.208644	
Epoch 2.01 / 5, i = 361 / 1780, loss = 3.181537	
Epoch 2.02 / 5, i = 362 / 1780, loss = 3.200638	
Epoch 2.02 / 5, i = 363 / 1780, loss = 3.177365	
Epoch 2.02 / 5, i = 364 / 1780, loss = 3.222764	
Epoch 2.03 / 5, i = 365 / 1780, loss = 3.171207	
Epoch 2.03 / 5, i = 366 / 1780, loss = 3.203280	
Epoch 2.03 / 5, i = 367 / 1780, loss = 3.203036	
Epoch 2.03 / 5, i = 368 / 1780, loss = 3.153239	
Epoch 2.04 / 5, i = 369 / 1780, loss = 3.209132	
Epoch 2.04 / 5, i = 370 / 1780, loss = 3.151103	
Epoch 2.04 / 5, i = 371 / 1780, loss = 3.173139	
Epoch 2.04 / 5, i = 372 / 1780, loss = 3.168665	
Epoch 2.05 / 5, i = 373 / 1780, loss = 3.157393	
Epoch 2.05 / 5, i = 374 / 1780, loss = 3.148947	
Epoch 2.05 / 5, i = 375 / 1780, loss = 3.125761	
Epoch 2.06 / 5, i = 376 / 1780, loss = 3.149018	
Epoch 2.06 / 5, i = 377 / 1780, loss = 3.148823	
Epoch 2.06 / 5, i = 378 / 1780, loss = 3.199116	
Epoch 2.06 / 5, i = 379 / 1780, loss = 3.170401	
Epoch 2.07 / 5, i = 380 / 1780, loss = 3.163823	
Epoch 2.07 / 5, i = 381 / 1780, loss = 3.194567	
Epoch 2.07 / 5, i = 382 / 1780, loss = 3.145206	
Epoch 2.08 / 5, i = 383 / 1780, loss = 3.177991	
Epoch 2.08 / 5, i = 384 / 1780, loss = 3.170602	
Epoch 2.08 / 5, i = 385 / 1780, loss = 3.114166	
Epoch 2.08 / 5, i = 386 / 1780, loss = 3.164899	
Epoch 2.09 / 5, i = 387 / 1780, loss = 3.125055	
Epoch 2.09 / 5, i = 388 / 1780, loss = 3.151611	
Epoch 2.09 / 5, i = 389 / 1780, loss = 3.091740	
Epoch 2.10 / 5, i = 390 / 1780, loss = 3.132709	
Epoch 2.10 / 5, i = 391 / 1780, loss = 3.114532	
Epoch 2.10 / 5, i = 392 / 1780, loss = 3.173675	
Epoch 2.10 / 5, i = 393 / 1780, loss = 3.150215	
Epoch 2.11 / 5, i = 394 / 1780, loss = 3.171097	
Epoch 2.11 / 5, i = 395 / 1780, loss = 3.134593	
Epoch 2.11 / 5, i = 396 / 1780, loss = 3.101272	
Epoch 2.12 / 5, i = 397 / 1780, loss = 3.097953	
Epoch 2.12 / 5, i = 398 / 1780, loss = 3.105996	
Epoch 2.12 / 5, i = 399 / 1780, loss = 3.152801	
Epoch 2.12 / 5, i = 400 / 1780, loss = 3.130218	
Epoch 2.13 / 5, i = 401 / 1780, loss = 3.154892	
Epoch 2.13 / 5, i = 402 / 1780, loss = 3.136782	
Epoch 2.13 / 5, i = 403 / 1780, loss = 3.128438	
Epoch 2.13 / 5, i = 404 / 1780, loss = 3.141091	
Epoch 2.14 / 5, i = 405 / 1780, loss = 3.168747	
Epoch 2.14 / 5, i = 406 / 1780, loss = 3.128995	
Epoch 2.14 / 5, i = 407 / 1780, loss = 3.094562	
Epoch 2.15 / 5, i = 408 / 1780, loss = 3.104887	
Epoch 2.15 / 5, i = 409 / 1780, loss = 3.146876	
Epoch 2.15 / 5, i = 410 / 1780, loss = 3.138408	
Epoch 2.15 / 5, i = 411 / 1780, loss = 3.059947	
Epoch 2.16 / 5, i = 412 / 1780, loss = 3.125976	
Epoch 2.16 / 5, i = 413 / 1780, loss = 3.099290	
Epoch 2.16 / 5, i = 414 / 1780, loss = 3.132716	
Epoch 2.17 / 5, i = 415 / 1780, loss = 3.135257	
Epoch 2.17 / 5, i = 416 / 1780, loss = 3.090355	
Epoch 2.17 / 5, i = 417 / 1780, loss = 3.112323	
Epoch 2.17 / 5, i = 418 / 1780, loss = 3.108816	
Epoch 2.18 / 5, i = 419 / 1780, loss = 3.092482	
Epoch 2.18 / 5, i = 420 / 1780, loss = 3.107021	
Epoch 2.18 / 5, i = 421 / 1780, loss = 3.091627	
Epoch 2.19 / 5, i = 422 / 1780, loss = 3.120186	
Epoch 2.19 / 5, i = 423 / 1780, loss = 3.098391	
